Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE
People,Ancestry,Russian,5668,(+/- 1883 ),3808,(+/- 1385 ),4788,(+/- 1448 ),2361,(+/- 992 ),3938,(+/- 1314 ),2735,(+/- 1141 ),3255,(+/- 970 ),2157,(+/- 1157 ),4115,(+/- 1088 ),2006,(+/- 741 ),7840,(+/- 1937 ),4265,(+/- 1383 ),3964,(+/- 1296 ),8478,(+/- 1539 ),3677,(+/- 1684 ),4531,(+/- 1283 )
People,Ancestry,Scotch-Irish,4792,(+/- 1152 ),6562,(+/- 1119 ),5340,(+/- 1450 ),6244,(+/- 1327 ),6444,(+/- 1582 ),10401,(+/- 1878 ),7460,(+/- 1606 ),6788,(+/- 1479 ),4719,(+/- 1102 ),8055,(+/- 1695 ),2675,(+/- 918 ),9277,(+/- 2207 ),5953,(+/- 1489 ),6521,(+/- 1175 ),10700,(+/- 2172 ),7267,(+/- 1796 )
People,Ancestry,Scottish,12633,(+/- 2342 ),12345,(+/- 2328 ),13444,(+/- 2877 ),12124,(+/- 1846 ),13283,(+/- 2169 ),14405,(+/- 2055 ),12952,(+/- 1997 ),13231,(+/- 2397 ),8830,(+/- 1434 ),16816,(+/- 2759 ),6158,(+/- 1037 ),21117,(+/- 3181 ),13028,(+/- 1952 ),15696,(+/- 2360 ),18114,(+/- 3032 ),14349,(+/- 2374 )
People,Ancestry,Slovak,896,(+/- 384 ),797,(+/- 435 ),2181,(+/- 1115 ),2749,(+/- 1170 ),1903,(+/- 694 ),8238,(+/- 1630 ),7526,(+/- 1765 ),844,(+/- 472 ),11703,(+/- 1764 ),1976,(+/- 632 ),6556,(+/- 1142 ),2825,(+/- 1252 ),21924,(+/- 2837 ),13367,(+/- 2103 ),3124,(+/- 1307 ),18868,(+/- 2249 )
People,Ancestry,Subsaharan African,14820,(+/- 4767 ),7564,(+/- 2849 ),60852,(+/- 8706 ),2769,(+/- 1188 ),2358,(+/- 937 ),5534,(+/- 1375 ),5451,(+/- 1936 ),5557,(+/- 2381 ),9553,(+/- 3161 ),9264,(+/- 2341 ),11990,(+/- 4149 ),5299,(+/- 1781 ),6935,(+/- 2083 ),4366,(+/- 2028 ),7670,(+/- 4245 ),2407,(+/- 1131 )
People,Ancestry,Swedish,4667,(+/- 1837 ),2780,(+/- 858 ),1899,(+/- 836 ),4176,(+/- 1215 ),3390,(+/- 974 ),4205,(+/- 1225 ),2390,(+/- 955 ),3019,(+/- 1121 ),3912,(+/- 1241 ),5746,(+/- 1455 ),3392,(+/- 1083 ),5107,(+/- 1354 ),3818,(+/- 1143 ),6467,(+/- 1311 ),5178,(+/- 1776 ),3732,(+/- 890 )
People,Ancestry,Swiss,1225,(+/- 621 ),3475,(+/- 2683 ),2062,(+/- 999 ),4988,(+/- 1270 ),6696,(+/- 1994 ),4815,(+/- 1736 ),14156,(+/- 3092 ),2441,(+/- 841 ),3370,(+/- 1539 ),2690,(+/- 912 ),1584,(+/- 720 ),5534,(+/- 2133 ),2427,(+/- 761 ),4706,(+/- 1666 ),3810,(+/- 968 ),10798,(+/- 1639 )
People,Ancestry,Ukrainian,1023,(+/- 838 ),599,(+/- 418 ),1451,(+/- 658 ),720,(+/- 518 ),1187,(+/- 548 ),1581,(+/- 988 ),1819,(+/- 641 ),1193,(+/- 710 ),4626,(+/- 1093 ),925,(+/- 516 ),3483,(+/- 1216 ),1245,(+/- 552 ),4277,(+/- 1152 ),5841,(+/- 1828 ),1265,(+/- 797 ),7963,(+/- 2103 )
People,Ancestry,Welsh,3477,(+/- 877 ),6381,(+/- 1633 ),6844,(+/- 1433 ),5490,(+/- 1139 ),5086,(+/- 1310 ),8087,(+/- 1455 ),9800,(+/- 1992 ),6763,(+/- 2170 ),4349,(+/- 1221 ),6533,(+/- 1370 ),3232,(+/- 928 ),15309,(+/- 2717 ),11357,(+/- 1898 ),8717,(+/- 1450 ),11785,(+/- 2350 ),7014,(+/- 1464 )
People,Ancestry,West Indian (excluding Hispanic origin groups),1555,(+/- 983 ),700,(+/- 758 ),4345,(+/- 1999 ),473,(+/- 529 ),605,(+/- 392 ),595,(+/- 617 ),160,(+/- 139 ),649,(+/- 620 ),2464,(+/- 1227 ),1363,(+/- 592 ),6293,(+/- 2226 ),798,(+/- 550 ),449,(+/- 331 ),469,(+/- 352 ),725,(+/- 757 ),729,(+/- 901 )
People,Veteran Status,Civilian population 18 years and over,566335,(+/- 5616 ),567330,(+/- 6532 ),612693,(+/- 7983 ),550032,(+/- 4597 ),556403,(+/- 4290 ),547931,(+/- 4762 ),562313,(+/- 6832 ),561520,(+/- 1620 ),558764,(+/- 8037 ),563303,(+/- 1423 ),538814,(+/- 8659 ),606751,(+/- 7436 ),569294,(+/- 7707 ),566748,(+/- 7073 ),597835,(+/- 6333 ),564916,(+/- 8365 )
People,Veteran Status,Civilian veterans,37766,(+/- 3036 ),39600,(+/- 2883 ),34862,(+/- 3257 ),42168,(+/- 2777 ),43010,(+/- 2581 ),49203,(+/- 2789 ),45734,(+/- 2592 ),46216,(+/- 2671 ),35826,(+/- 2773 ),56353,(+/- 4097 ),31375,(+/- 2430 ),45654,(+/- 3170 ),44449,(+/- 3276 ),39128,(+/- 2677 ),44859,(+/- 3100 ),44107,(+/- 2761 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,727726,(+/- 7419 ),727043,(+/- 8629 ),807263,(+/- 10949 ),687019,(+/- 6125 ),709691,(+/- 6354 ),677663,(+/- 6444 ),725846,(+/- 8831 ),724596,(+/- 2223 ),709530,(+/- 11132 ),712784,(+/- 2233 ),667089,(+/- 12654 ),778865,(+/- 10072 ),697958,(+/- 11603 ),712007,(+/- 8787 ),739064,(+/- 10142 ),713082,(+/- 10496 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,86903,(+/- 5203 ),102495,(+/- 5475 ),99992,(+/- 5738 ),99925,(+/- 5601 ),94973,(+/- 4441 ),124756,(+/- 5370 ),98209,(+/- 5434 ),105682,(+/- 5218 ),113034,(+/- 5321 ),110529,(+/- 5246 ),115024,(+/- 6184 ),98456,(+/- 4966 ),108582,(+/- 5624 ),85512,(+/- 4356 ),103248,(+/- 5057 ),82186,(+/- 4057 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,174014,(+/- 4038 ),167006,(+/- 4454 ),199084,(+/- 5898 ),156743,(+/- 3595 ),160302,(+/- 3772 ),146170,(+/- 3410 ),170900,(+/- 4644 ),169411,(+/- 1433 ),156913,(+/- 7049 ),158276,(+/- 742 ),138592,(+/- 6614 ),181969,(+/- 5015 ),137849,(+/- 6567 ),153585,(+/- 4318 ),160842,(+/- 5708 ),154647,(+/- 5622 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,7338,(+/- 1921 ),7073,(+/- 1681 ),9132,(+/- 1910 ),8157,(+/- 1581 ),8806,(+/- 1490 ),7116,(+/- 1456 ),6811,(+/- 1385 ),9211,(+/- 1829 ),9734,(+/- 2081 ),9846,(+/- 1986 ),8049,(+/- 1803 ),8200,(+/- 1468 ),8183,(+/- 1669 ),5914,(+/- 1331 ),6826,(+/- 1327 ),6920,(+/- 1336 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,446277,(+/- 5614 ),445578,(+/- 6286 ),525645,(+/- 8318 ),411980,(+/- 4521 ),423932,(+/- 3800 ),398612,(+/- 4563 ),424348,(+/- 6479 ),435687,(+/- 1951 ),443761,(+/- 7406 ),430466,(+/- 2006 ),412977,(+/- 8124 ),476309,(+/- 7775 ),432171,(+/- 8188 ),416864,(+/- 6687 ),460798,(+/- 6351 ),416754,(+/- 7420 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,43858,(+/- 3757 ),56915,(+/- 4456 ),60640,(+/- 4377 ),51976,(+/- 3868 ),44697,(+/- 2977 ),67238,(+/- 3963 ),48313,(+/- 3628 ),54132,(+/- 3866 ),63516,(+/- 4119 ),55784,(+/- 4037 ),65231,(+/- 4461 ),49849,(+/- 4064 ),58386,(+/- 4015 ),35185,(+/- 2876 ),55928,(+/- 3803 ),32761,(+/- 2768 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,107435,(+/- 2918 ),114459,(+/- 3543 ),82534,(+/- 2897 ),118296,(+/- 2929 ),125457,(+/- 2632 ),132881,(+/- 2844 ),130598,(+/- 3775 ),119498,(+/- 1326 ),108856,(+/- 4023 ),124042,(+/- 1385 ),115520,(+/- 3156 ),120587,(+/- 3306 ),127938,(+/- 3446 ),141558,(+/- 3565 ),117424,(+/- 3366 ),141681,(+/- 4442 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,35707,(+/- 2717 ),38507,(+/- 2790 ),30220,(+/- 2562 ),39792,(+/- 2501 ),41470,(+/- 2615 ),50402,(+/- 2930 ),43085,(+/- 2649 ),42339,(+/- 2615 ),39784,(+/- 3087 ),44899,(+/- 2540 ),41744,(+/- 2871 ),40407,(+/- 2491 ),42013,(+/- 3015 ),44413,(+/- 2533 ),40494,(+/- 2666 ),42505,(+/- 2856 )
People,Residence 1 Year Ago,Population 1 year and over,730608,(+/- 7008 ),725410,(+/- 8453 ),799627,(+/- 10610 ),698302,(+/- 5724 ),708957,(+/- 6518 ),687565,(+/- 6430 ),726122,(+/- 8620 ),723906,(+/- 2337 ),707719,(+/- 10886 ),715721,(+/- 1883 ),670486,(+/- 12444 ),781120,(+/- 9775 ),702049,(+/- 10602 ),713802,(+/- 8539 ),751494,(+/- 9893 ),712275,(+/- 10586 )
People,Residence 1 Year Ago,Same house,612155,(+/- 10083 ),627000,(+/- 10780 ),633650,(+/- 13420 ),598779,(+/- 8698 ),617299,(+/- 7942 ),619287,(+/- 7715 ),636564,(+/- 11536 ),609788,(+/- 8144 ),601916,(+/- 10272 ),586331,(+/- 8079 ),557893,(+/- 12161 ),669985,(+/- 10823 ),603533,(+/- 11153 ),642091,(+/- 9056 ),643344,(+/- 11743 ),633100,(+/- 10654 )
People,Residence 1 Year Ago,Different house in the U.S.,115799,(+/- 8590 ),96490,(+/- 7144 ),161121,(+/- 11783 ),97585,(+/- 7465 ),89682,(+/- 6851 ),67391,(+/- 6214 ),88585,(+/- 7751 ),110900,(+/- 8407 ),103143,(+/- 8530 ),127017,(+/- 7514 ),110866,(+/- 8752 ),109006,(+/- 7485 ),96734,(+/- 7769 ),69571,(+/- 5373 ),104316,(+/- 7769 ),76779,(+/- 7537 )
People,Residence 1 Year Ago,Same county,68786,(+/- 7815 ),59188,(+/- 5457 ),118206,(+/- 10030 ),58726,(+/- 5631 ),52345,(+/- 5773 ),37839,(+/- 5226 ),54082,(+/- 6943 ),66155,(+/- 6934 ),78535,(+/- 7761 ),79092,(+/- 6856 ),86312,(+/- 8478 ),62983,(+/- 5912 ),66847,(+/- 7198 ),41927,(+/- 4733 ),52132,(+/- 4798 ),51399,(+/- 6471 )
People,Residence 1 Year Ago,Different county,47013,(+/- 5154 ),37302,(+/- 4739 ),42915,(+/- 6074 ),38859,(+/- 4557 ),37337,(+/- 4168 ),29552,(+/- 3513 ),34503,(+/- 5335 ),44745,(+/- 4958 ),24608,(+/- 3809 ),47925,(+/- 4985 ),24554,(+/- 2800 ),46023,(+/- 4593 ),29887,(+/- 3944 ),27644,(+/- 3462 ),52184,(+/- 5324 ),25380,(+/- 3740 )
People,Residence 1 Year Ago,Same state,27945,(+/- 4036 ),25023,(+/- 4043 ),21173,(+/- 4250 ),29262,(+/- 4005 ),26506,(+/- 3540 ),21735,(+/- 3269 ),26948,(+/- 4822 ),28204,(+/- 3726 ),13762,(+/- 2474 ),26137,(+/- 3891 ),13023,(+/- 2462 ),33331,(+/- 3882 ),18765,(+/- 3119 ),19932,(+/- 3024 ),41593,(+/- 4627 ),19066,(+/- 3305 )
People,Residence 1 Year Ago,Different state,19068,(+/- 3741 ),12279,(+/- 3165 ),21742,(+/- 4715 ),9597,(+/- 2195 ),10831,(+/- 2056 ),7817,(+/- 1617 ),7555,(+/- 1822 ),16541,(+/- 3598 ),10846,(+/- 2802 ),21788,(+/- 3369 ),11531,(+/- 2003 ),12692,(+/- 2500 ),11122,(+/- 2125 ),7712,(+/- 2027 ),10591,(+/- 1913 ),6314,(+/- 1658 )
People,Residence 1 Year Ago,Abroad,2654,(+/- 1220 ),1920,(+/- 1125 ),4856,(+/- 2219 ),1938,(+/- 917 ),1976,(+/- 614 ),887,(+/- 347 ),973,(+/- 697 ),3218,(+/- 1419 ),2660,(+/- 1354 ),2373,(+/- 889 ),1727,(+/- 774 ),2129,(+/- 1074 ),1782,(+/- 671 ),2140,(+/- 1070 ),3834,(+/- 2259 ),2396,(+/- 2214 )
Workers,Employment Status,Population 16 years and over,586048,(+/- 5679 ),586821,(+/- 7190 ),634262,(+/- 8573 ),569468,(+/- 4740 ),575772,(+/- 4610 ),567206,(+/- 5287 ),582265,(+/- 7172 ),582824,(+/- 2067 ),578368,(+/- 8098 ),585644,(+/- 1557 ),554622,(+/- 9216 ),626697,(+/- 8008 ),586892,(+/- 8150 ),587616,(+/- 7130 ),618113,(+/- 7088 ),584994,(+/- 8850 )
Workers,Employment Status,In labor force,382898,(+/- 5974 ),375869,(+/- 7628 ),432128,(+/- 9388 ),351553,(+/- 4953 ),369517,(+/- 5870 ),312034,(+/- 5582 ),364477,(+/- 7027 ),368073,(+/- 6052 ),370461,(+/- 8580 ),366636,(+/- 4636 ),333073,(+/- 7848 ),412242,(+/- 7708 ),363960,(+/- 8071 ),377649,(+/- 6970 ),380656,(+/- 6894 ),376809,(+/- 8440 )
Workers,Employment Status,Civilian labor force,382594,(+/- 6017 ),375606,(+/- 7589 ),431842,(+/- 9399 ),351409,(+/- 4939 ),369256,(+/- 5819 ),311827,(+/- 5567 ),364063,(+/- 6982 ),367563,(+/- 6044 ),370178,(+/- 8618 ),363130,(+/- 4693 ),332958,(+/- 7822 ),411596,(+/- 7740 ),363607,(+/- 8064 ),377502,(+/- 6971 ),380213,(+/- 6888 ),376667,(+/- 8450 )
Workers,Employment Status,Employed,366981,(+/- 5799 ),360434,(+/- 7748 ),406913,(+/- 9381 ),336888,(+/- 5087 ),355252,(+/- 5903 ),296325,(+/- 5733 ),348283,(+/- 6756 ),350488,(+/- 6050 ),343545,(+/- 8403 ),341777,(+/- 4994 ),302954,(+/- 7311 ),395819,(+/- 8005 ),339182,(+/- 7958 ),361562,(+/- 6529 ),366636,(+/- 6984 ),364402,(+/- 8204 )
Workers,Employment Status,Unemployed,15613,(+/- 2310 ),15172,(+/- 2255 ),24929,(+/- 3371 ),14521,(+/- 1978 ),14004,(+/- 1716 ),15502,(+/- 1968 ),15780,(+/- 2177 ),17075,(+/- 2146 ),26633,(+/- 2950 ),21353,(+/- 2462 ),30004,(+/- 2971 ),15777,(+/- 2303 ),24425,(+/- 2884 ),15940,(+/- 1869 ),13577,(+/- 1734 ),12265,(+/- 1539 )
Workers,Employment Status,Armed Forces,304,(+/- 267 ),263,(+/- 236 ),286,(+/- 290 ),144,(+/- 135 ),261,(+/- 248 ),207,(+/- 198 ),414,(+/- 310 ),510,(+/- 323 ),283,(+/- 214 ),3506,(+/- 964 ),115,(+/- 147 ),646,(+/- 314 ),353,(+/- 374 ),147,(+/- 195 ),443,(+/- 295 ),142,(+/- 139 )
Workers,Employment Status,Not in labor force,203150,(+/- 5853 ),210952,(+/- 6230 ),202134,(+/- 7712 ),217915,(+/- 5042 ),206255,(+/- 5766 ),255172,(+/- 5455 ),217788,(+/- 6700 ),214751,(+/- 6107 ),207907,(+/- 6694 ),219008,(+/- 4928 ),221549,(+/- 6706 ),214455,(+/- 6689 ),222932,(+/- 5737 ),209967,(+/- 5211 ),237457,(+/- 7418 ),208185,(+/- 6522 )
Workers,Employment Status,Civilian labor force,382594,(+/- 6017 ),375606,(+/- 7589 ),431842,(+/- 9399 ),351409,(+/- 4939 ),369256,(+/- 5819 ),311827,(+/- 5567 ),364063,(+/- 6982 ),367563,(+/- 6044 ),370178,(+/- 8618 ),363130,(+/- 4693 ),332958,(+/- 7822 ),411596,(+/- 7740 ),363607,(+/- 8064 ),377502,(+/- 6971 ),380213,(+/- 6888 ),376667,(+/- 8450 )
Workers,Employment Status,Unemployment Rate,4.1,(+/- 0.6 ),4,(+/- 0.6 ),5.8,(+/- 0.8 ),4.1,(+/- 0.6 ),3.8,(+/- 0.5 ),5,(+/- 0.6 ),4.3,(+/- 0.6 ),4.6,(+/- 0.6 ),7.2,(+/- 0.8 ),5.9,(+/- 0.7 ),9,(+/- 0.8 ),3.8,(+/- 0.6 ),6.7,(+/- 0.8 ),4.2,(+/- 0.5 ),3.6,(+/- 0.5 ),3.3,(+/- 0.4 )
Workers,Commuting to Work,Workers 16 years and over,359537,(+/- 5710 ),352096,(+/- 7949 ),397503,(+/- 9492 ),330017,(+/- 5122 ),347701,(+/- 6219 ),289633,(+/- 5971 ),342685,(+/- 6740 ),343699,(+/- 6170 ),336809,(+/- 8361 ),336466,(+/- 5049 ),296259,(+/- 7143 ),389358,(+/- 8265 ),331182,(+/- 7948 ),353875,(+/- 6258 ),360124,(+/- 7316 ),357477,(+/- 8054 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",281264,(+/- 6216 ),292115,(+/- 7914 ),307040,(+/- 10294 ),277290,(+/- 5094 ),299752,(+/- 6353 ),247080,(+/- 6070 ),279792,(+/- 6712 ),288292,(+/- 6787 ),274477,(+/- 7829 ),275441,(+/- 5493 ),222173,(+/- 5952 ),323782,(+/- 7960 ),275163,(+/- 7047 ),299045,(+/- 6080 ),301742,(+/- 6709 ),305826,(+/- 8175 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",33245,(+/- 3357 ),28935,(+/- 2860 ),44417,(+/- 6332 ),30743,(+/- 3308 ),23868,(+/- 2230 ),22436,(+/- 2637 ),32066,(+/- 3029 ),26924,(+/- 3091 ),33978,(+/- 3399 ),28693,(+/- 3123 ),24444,(+/- 2596 ),23842,(+/- 2626 ),26018,(+/- 3110 ),25185,(+/- 2810 ),25849,(+/- 2638 ),23929,(+/- 2469 )
Workers,Commuting to Work,Public transportation (excluding taxicab),10676,(+/- 1988 ),3245,(+/- 966 ),12037,(+/- 1792 ),1131,(+/- 620 ),3139,(+/- 1069 ),1101,(+/- 480 ),2065,(+/- 771 ),2287,(+/- 710 ),7678,(+/- 1550 ),8510,(+/- 1621 ),21780,(+/- 2785 ),3178,(+/- 952 ),4509,(+/- 1089 ),1545,(+/- 622 ),3023,(+/- 923 ),1509,(+/- 591 )
Workers,Commuting to Work,Walked,9373,(+/- 1656 ),8113,(+/- 1881 ),12562,(+/- 1931 ),6756,(+/- 1230 ),6767,(+/- 1342 ),6702,(+/- 1182 ),7418,(+/- 1433 ),7565,(+/- 2021 ),5876,(+/- 1320 ),8494,(+/- 1762 ),10522,(+/- 1715 ),7847,(+/- 1512 ),6483,(+/- 1266 ),4685,(+/- 1006 ),8434,(+/- 1318 ),4175,(+/- 1024 )
Workers,Commuting to Work,Other means,5290,(+/- 1249 ),3000,(+/- 893 ),5262,(+/- 1303 ),3324,(+/- 871 ),4068,(+/- 869 ),3225,(+/- 1368 ),8145,(+/- 1797 ),3082,(+/- 989 ),5658,(+/- 1452 ),2203,(+/- 712 ),4570,(+/- 1165 ),5614,(+/- 1409 ),4118,(+/- 886 ),2840,(+/- 905 ),3065,(+/- 898 ),3612,(+/- 967 )
Workers,Commuting to Work,Worked at home,19689,(+/- 2862 ),16688,(+/- 2520 ),16185,(+/- 2158 ),10773,(+/- 1814 ),10107,(+/- 1732 ),9089,(+/- 1347 ),13199,(+/- 1804 ),15549,(+/- 1798 ),9142,(+/- 1654 ),13125,(+/- 1453 ),12770,(+/- 1698 ),25095,(+/- 2594 ),14891,(+/- 2226 ),20575,(+/- 2266 ),18011,(+/- 2233 ),18426,(+/- 2037 )
Workers,Commuting to Work,Mean travel time to work (minutes),25.2,(+/- 0.6 ),24.9,(+/- 0.5 ),21.8,(+/- 0.5 ),22.4,(+/- 0.5 ),21.1,(+/- 0.5 ),26.3,(+/- 0.7 ),24,(+/- 0.7 ),24,(+/- 0.6 ),22.1,(+/- 0.6 ),21.6,(+/- 0.5 ),23.7,(+/- 0.6 ),24.8,(+/- 0.5 ),22.3,(+/- 0.5 ),24.6,(+/- 0.6 ),25.2,(+/- 0.6 ),24.2,(+/- 0.6 )
Workers,Occupation,Civilian employed population 16 years and over,366981,(+/- 5799 ),360434,(+/- 7748 ),406913,(+/- 9381 ),336888,(+/- 5087 ),355252,(+/- 5903 ),296325,(+/- 5733 ),348283,(+/- 6756 ),350488,(+/- 6050 ),343545,(+/- 8403 ),341777,(+/- 4994 ),302954,(+/- 7311 ),395819,(+/- 8005 ),339182,(+/- 7958 ),361562,(+/- 6529 ),366636,(+/- 6984 ),364402,(+/- 8204 )
Workers,Occupation,"Management, business, science, and arts occupations",154918,(+/- 6108 ),142207,(+/- 5578 ),141740,(+/- 6399 ),101123,(+/- 4059 ),124089,(+/- 4453 ),87434,(+/- 5177 ),116316,(+/- 5173 ),119868,(+/- 4483 ),109956,(+/- 5399 ),130113,(+/- 4327 ),114691,(+/- 4804 ),186516,(+/- 6845 ),113275,(+/- 5610 ),155962,(+/- 5140 ),154503,(+/- 5781 ),151829,(+/- 5096 )
Workers,Occupation,Service occupations,60619,(+/- 3822 ),57796,(+/- 4699 ),78623,(+/- 5731 ),58772,(+/- 3594 ),56444,(+/- 3531 ),55015,(+/- 3695 ),55141,(+/- 3941 ),61288,(+/- 3118 ),72589,(+/- 4650 ),58475,(+/- 4006 ),62333,(+/- 4711 ),52504,(+/- 4185 ),69559,(+/- 5032 ),50555,(+/- 3821 ),57174,(+/- 3531 ),55682,(+/- 3296 )
Workers,Occupation,Sales and office occupations,75893,(+/- 4401 ),79808,(+/- 4624 ),89462,(+/- 4643 ),63645,(+/- 3768 ),71020,(+/- 3866 ),61182,(+/- 4052 ),73661,(+/- 4679 ),72319,(+/- 3815 ),72068,(+/- 4075 ),78267,(+/- 4311 ),66563,(+/- 4078 ),85821,(+/- 5121 ),73280,(+/- 3979 ),77701,(+/- 3640 ),78120,(+/- 4281 ),79913,(+/- 4127 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",21967,(+/- 2586 ),28776,(+/- 3519 ),22605,(+/- 2777 ),29381,(+/- 2275 ),29510,(+/- 2195 ),35868,(+/- 2832 ),32725,(+/- 2587 ),27383,(+/- 2833 ),23308,(+/- 2394 ),22364,(+/- 2544 ),16340,(+/- 2238 ),24520,(+/- 2853 ),25363,(+/- 2232 ),27740,(+/- 2146 ),26851,(+/- 2578 ),26110,(+/- 2400 )
Workers,Occupation,"Production, transportation, and material moving occupations",53584,(+/- 4183 ),51847,(+/- 4291 ),74483,(+/- 5338 ),83967,(+/- 3642 ),74189,(+/- 4013 ),56826,(+/- 3630 ),70440,(+/- 3192 ),69630,(+/- 4043 ),65624,(+/- 4517 ),52558,(+/- 3586 ),43027,(+/- 3277 ),46458,(+/- 3463 ),57705,(+/- 3921 ),49604,(+/- 3410 ),49988,(+/- 3415 ),50868,(+/- 3688 )
Workers,Industry,Civilian employed population 16 years and over,366981,(+/- 5799 ),360434,(+/- 7748 ),406913,(+/- 9381 ),336888,(+/- 5087 ),355252,(+/- 5903 ),296325,(+/- 5733 ),348283,(+/- 6756 ),350488,(+/- 6050 ),343545,(+/- 8403 ),341777,(+/- 4994 ),302954,(+/- 7311 ),395819,(+/- 8005 ),339182,(+/- 7958 ),361562,(+/- 6529 ),366636,(+/- 6984 ),364402,(+/- 8204 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",892,(+/- 621 ),2346,(+/- 1112 ),1167,(+/- 642 ),6341,(+/- 1164 ),6552,(+/- 1435 ),10523,(+/- 1791 ),5715,(+/- 1318 ),3675,(+/- 943 ),1021,(+/- 483 ),1895,(+/- 716 ),1270,(+/- 781 ),3177,(+/- 1002 ),1180,(+/- 510 ),2628,(+/- 1106 ),3495,(+/- 946 ),3839,(+/- 805 )
Workers,Industry,Construction,17170,(+/- 2138 ),21240,(+/- 2545 ),18372,(+/- 2866 ),17233,(+/- 1987 ),20050,(+/- 1950 ),22722,(+/- 2116 ),24338,(+/- 2791 ),19108,(+/- 2053 ),16914,(+/- 1801 ),17772,(+/- 2351 ),12095,(+/- 2073 ),19604,(+/- 2193 ),19682,(+/- 1895 ),21505,(+/- 2140 ),22822,(+/- 2684 ),20837,(+/- 2450 )
Workers,Industry,Manufacturing,45222,(+/- 3785 ),49697,(+/- 3776 ),30489,(+/- 3430 ),85734,(+/- 4214 ),75367,(+/- 4121 ),43035,(+/- 2990 ),65805,(+/- 4266 ),70716,(+/- 4310 ),51457,(+/- 3760 ),43142,(+/- 2999 ),35194,(+/- 3096 ),38681,(+/- 3441 ),50600,(+/- 3651 ),69331,(+/- 4100 ),36080,(+/- 2950 ),57136,(+/- 3574 )
Workers,Industry,Wholesale trade,10677,(+/- 1895 ),9266,(+/- 2085 ),11087,(+/- 1992 ),7166,(+/- 1202 ),9892,(+/- 1752 ),6345,(+/- 1406 ),8695,(+/- 1568 ),8506,(+/- 1548 ),8199,(+/- 1615 ),6201,(+/- 1210 ),6582,(+/- 1246 ),10804,(+/- 2104 ),7036,(+/- 1350 ),11036,(+/- 1633 ),11548,(+/- 1831 ),11370,(+/- 1533 )
Workers,Industry,Retail trade,40135,(+/- 3853 ),46358,(+/- 3931 ),56081,(+/- 4497 ),35600,(+/- 3044 ),39585,(+/- 3310 ),33798,(+/- 2943 ),38348,(+/- 2839 ),39686,(+/- 3106 ),39977,(+/- 2777 ),40116,(+/- 3300 ),28588,(+/- 3223 ),46733,(+/- 3895 ),42159,(+/- 3711 ),36634,(+/- 2745 ),39267,(+/- 2917 ),39786,(+/- 2867 )
Workers,Industry,"Transportation and warehousing, and utilities",21890,(+/- 2801 ),16565,(+/- 2034 ),35272,(+/- 3894 ),16207,(+/- 1709 ),19224,(+/- 2166 ),17629,(+/- 2011 ),19204,(+/- 1878 ),17976,(+/- 2222 ),19845,(+/- 2292 ),15362,(+/- 1932 ),14416,(+/- 2421 ),18305,(+/- 2356 ),17994,(+/- 1814 ),12708,(+/- 1432 ),21688,(+/- 2189 ),15798,(+/- 1806 )
Workers,Industry,Information,6333,(+/- 1734 ),6814,(+/- 1240 ),7016,(+/- 1295 ),3639,(+/- 839 ),4488,(+/- 936 ),2881,(+/- 762 ),5117,(+/- 1095 ),4206,(+/- 1058 ),6877,(+/- 1242 ),7573,(+/- 1461 ),4516,(+/- 977 ),7233,(+/- 1512 ),4167,(+/- 1065 ),4979,(+/- 991 ),6609,(+/- 1448 ),5998,(+/- 1147 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",26253,(+/- 2506 ),26917,(+/- 2659 ),34258,(+/- 3214 ),13761,(+/- 1419 ),14934,(+/- 1868 ),10420,(+/- 1361 ),16709,(+/- 2080 ),18620,(+/- 2353 ),17065,(+/- 1798 ),17813,(+/- 2097 ),23784,(+/- 2409 ),43691,(+/- 3350 ),15713,(+/- 1950 ),27064,(+/- 2016 ),26805,(+/- 2498 ),25187,(+/- 2325 )
